AccX,AccY,AccZ,Longitude,Latitude
2.8874,-0.0982,9.2751,77.742065,21.23045
2.8874,-0.0982,9.2751,77.742065,21.23045
2.8874,-0.0982,9.2751,77.742065,21.23045
2.8874,-0.0982,9.2751,77.742065,21.23045
2.8874,-0.0982,9.2751,77.742065,21.23045
2.8874,-0.0982,9.2751,77.742065,21.23045
2.8874,-0.0982,9.2751,77.742065,21.23045
2.8874,-0.0982,9.2751,77.742065,21.23045
2.8874,-0.0982,9.2751,77.742065,21.23045
2.8874,-0.0982,9.2751,77.742065,21.23045
2.8874,-0.0982,9.2751,77.742065,21.23045
2.8874,-0.0982,9.2751,77.742065,21.23045
2.8874,-0.0982,9.2751,77.742065,21.23045
2.8874,-0.0982,9.2751,77.742065,21.23045
2.8874,-0.0982,9.2751,77.742065,21.23045
2.8874,-0.0982,9.2751,77.742065,21.23045
2.8874,-0.0982,9.2751,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
4.5633,-0.0551,8.9878,77.742065,21.23045
1.5155,-0.067,9.5122,77.742065,21.23045
1.5155,-0.067,9.5122,77.742065,21.23045
1.5155,-0.067,9.5122,77.742065,21.23045
1.5155,-0.067,9.5122,77.742065,21.23045
1.5155,-0.067,9.5122,77.742065,21.23045
1.5155,-0.067,9.5122,77.742065,21.23045
1.5155,-0.067,9.5122,77.742065,21.23045
1.5155,-0.067,9.5122,77.742065,21.23045
1.5155,-0.067,9.5122,77.742065,21.23045
1.5155,-0.067,9.5122,77.742065,21.23045
1.5155,-0.067,9.5122,77.742065,21.23045
1.5155,-0.067,9.5122,77.742065,21.23045
